serializedGLN;buildingName;buildingCode;longitude;latitude
8800026901013020033532266z;Main Gate;E1;127.363653;36.366058
88000269010130200335322712z;Geotechnical Centrifuge Testing Center;W16;127.3624614;36.36560241
8800026901013020033532276z;Applied Engineering B/D;W1;127.3612862;36.3654734
88000269010130200335322778z;Galilei Hall;W3;127.3582172;36.36738011
88000269010130200335322790z;Yeoul Hall. Nadl Hall;W4-1. 2;127.357496;36.366974
88000269010130200335322798z;Greenhouse;N/A;127.358301;36.368234
880002690101302003353227102z;Dasom Hall. Heemang Hall;W4-3. 4;127.356952;36.36823
880002690101302003353227112z;West Energy Plant;W12;127.3571928;36.36869168
880002690101302003353227118z;Married Students Housing;W5-1;127.3566519;36.36910927
880002690101302003353227120z;Startup Village;W5-2;127.3559775;36.36918057
880002690101302003353227122z;International Village(C);W5-3;127.356408;36.36951142
880002690101302003353227126z;International Village(A);W5-4;127.3556307;36.36971404
880002690101302003353227128z;International Village(B);W5-5;127.3560178;36.37000364
880002690101302003353227136z;Mir Hall. Narae Hall;W6;127.3557122;36.37043474
880002690101302003353227148z;Nanum Hall;W7;127.3558258;36.37109499
880002690101302003353227151z;International Faculty Apartment;W11;127.3561537;36.371961
880002690101302003353227158z;Wind Tunnel Laboratory;W10;127.356847;36.37140632
88000269010130200335322813z;Industrial Engineering and Management B/D;E2;127.3643474;36.36731328
88000269010130200335322821z;Information and Electronics B/D;E3;127.365382;36.36882
88000269010130200335322837z;National Nano Fab Center;E19;127.366813;36.36825832
88000269010130200335322838z;Waste Water Disposal Plant;N/A;127.367601;36.367765
88000269010130200335322846z;Daejeon Disease-model Animal Center;E18;127.368093;36.368455
88000269010130200335322848z;Bio Model System Park;E18-1;127.3681392;36.36850846
88000269010130200335322852z;Stadium;E17;127.36846;36.36958
88000269010130200335322853z;Device Innovation Facility;E3-3;127.3665404;36.36893536
88000269010130200335322859z;Saeneul Dong;E3-4;127.3662967;36.36928543
88000269010130200335322869z;Natural Science B/D;E6;127.3646214;36.37015234
88000269010130200335322871z;Biomedical Research Center;E7;127.3654673;36.37030401
88000269010130200335322877z;Basic Science Building;E6-6;127.3649287;36.37076561
88000269010130200335322899z;GoongNi Laboratory Building;E6-5;127.3636536;36.37031463
88000269010130200335322868z;Sejong Hall;E8;127.366542;36.371242
